Zm00001d000001	 ppo1;polyphenol oxidase1: vegetative meristem cDNA 7C02D02	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d043052	Endoplasmic reticulum vesicle transporter protein	[source:homolog]
Zm00001d043056	Protein kinase superfamily protein	[source:homolog]
Zm00001d043058	Probable LRR receptor-like serine/threonine-protein kinase IRK	[source:homolog]
Zm00001d043059	Protein FATTY ACID EXPORT 3 chloroplastic	[source:homolog]
Zm00001d043060	Probable WRKY transcription factor 30	[source:homolog]
Zm00001d043062	Probable WRKY transcription factor 30	[source:homolog]
Zm00001d043063	Probable WRKY transcription factor 30	[source:homolog]
Zm00001d043064	Protein MOR1	[source:homolog]
Zm00001d043066	Probable WRKY transcription factor 30	[source:homolog]
Zm00001d043067	Protein kinase family protein with ARM repeat domain	[source:homolog]
Zm00001d043068	Putative pentatricopeptide repeat-containing protein 	[source:homolog]
Zm00001d043070	Ubiquitin-conjugating enzyme E2 11	[source:homolog]
Zm00001d043071	Probable inactive receptor kinase 	[source:homolog]
Zm00001d043073	Protein TSS	[source:homolog]
Zm00001d043074	proline-rich family protein	[source:homolog]
Zm00001d043075	Leucine-rich repeat protein kinase family protein	[source:homolog]
Zm00001d043076	WUSCHEL-related homeobox 13	[source:homolog]
Zm00001d043077	Tryptophan synthase alpha chain chloroplastic	[source:homolog]
Zm00001d043079	Expressed protein;  protein	[source:homolog]
Zm00001d043080	KH domain-containing protein	[source:homolog]
Zm00001d043081	Pentatricopeptide repeat-containing protein 	[source:homolog]
Zm00001d043082	Calcium-dependent lipid-binding (CaLB domain) family protein	[source:homolog]
Zm00001d043083	 pin14 ;PIN-formed protein14: similar to PIN-formed proteins (Forestan et al 2012)	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d043084	Replication protein-like	[source:homolog]
Zm00001d043086	23-bisphosphoglycerate-independent phosphoglycerate mutase 1	[source:homolog]
Zm00001d043087	GTP binding protein  	 [source: RefGen_v3] 
Zm00001d043088	TRAM LAG1 and CLN8 (TLC) lipid-sensing domain containing protein	[source:homolog]
Zm00001d043089	Calcium uniporter protein 5 mitochondrial	[source:homolog]
Zm00001d043090	SKU5  similar 13	[source:homolog]
Zm00001d043091	Leucine-rich repeat protein kinase family protein	[source:homolog]
Zm00001d043093	Protein MOR1	[source:homolog]
Zm00001d043094	Pentatricopeptide repeat-containing protein  mitochondrial	[source:homolog]
Zm00001d043095	Zinc finger protein VAR3 chloroplastic	[source:homolog]
Zm00001d043097	Ribosomal protein L34e superfamily protein	[source:homolog]
Zm00001d043098	 fcr1;ferric-chelate reductase (NADH)1: member of a multi-gene family	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d043100	DNA-directed RNA polymerase 3 chloroplastic	[source:homolog]
Zm00001d043101	Probable S-sulfocysteine synthase chloroplastic	[source:homolog]
Zm00001d043102	F-box domain containing protein  	 [source: RefGen_v3] 
Zm00001d043107	Pentatricopeptide repeat-containing protein  chloroplastic/mitochondrial	[source:homolog]
Zm00001d043108	CONTAINS InterPro DOMAIN/s: Nuclear fragile X mental retardation-interacting protein 1 conserved region (InterPro:IPR019496); Has 1333 Blast hits to 1211 proteins in 205 species: Archae - 0; Bacteria - 137; Metazoa - 339; Fungi - 162; Plants - 70;  /.../s - 6; Other Eukaryotes - 619 (source: NCBI BLink).	[source:homolog]
Zm00001d043109	Probable ADP-ribosylation factor GTPase-activating protein AGD14	[source:homolog]
Zm00001d043110	Beta-glucosidase 11	[source:homolog]
Zm00001d043112	Vacuolar protein sorting-associated protein 36	[source:homolog]
Zm00001d043113	ADP-ribosylation factor A1E	[source:homolog]
Zm00001d043115	ER membrane protein complex subunit 7 homolog	[source:homolog]
Zm00001d043116	Ethylene-responsive transcription factor WRI1	[source:homolog]
Zm00001d043117	ABSCISIC ACID-INSENSITIVE 5-like protein 2	[source:homolog]
Zm00001d043118	Adenylylsulfatase HINT1	[source:homolog]
Zm00001d043119	Protein RETICULATA-RELATED 3 chloroplastic	[source:homolog]
Zm00001d043121	Osmotin-like protein OSM34	[source:homolog]
Zm00001d043124	Exocyst complex component SEC5A	[source:homolog]
Zm00001d043125	F-box protein 	[source:homolog]
Zm00001d043126	Ulp1 protease family C-terminal catalytic domain containing protein expressed	[source:homolog]
Zm00001d043127	DNA-directed RNA polymerase 3 chloroplastic	[source:homolog]
Zm00001d043128	NHL25  	 [source: RefGen_v3] 
Zm00001d043129	Ulp1 protease family C-terminal catalytic domain containing protein expressed	[source:homolog]
Zm00001d043131	myb domain protein 81	[source:homolog]
Zm00001d043134	Exostosin family protein	[source:homolog]
Zm00001d043135	Histone-lysine N-methyltransferase H3 lysine-9 specific SUVH3	[source:homolog]
Zm00001d043136	Serine-type endopeptidase inhibitor  	 [source: RefGen_v3] 
Zm00001d043137	Proteasome subunit alpha type  	 [source: RefGen_v3] 
Zm00001d043139	Class I peptide chain release factor	[source:homolog]
Zm00001d043140	Two-component response regulator-like APRR1	[source:homolog]
Zm00001d043143	General transcription factor 2-related zinc finger protein	[source:homolog]
Zm00001d043144	Calmodulin-7	[source:homolog]
Zm00001d043145	Cupin%2C RmlC-type  	 [source: RefGen_v3] 
Zm00001d043146	 rnc1;ribonuclease III domain protein1: albino to pale green seedling lethal; RNA splicing	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d043147	FAD-dependent oxidoreductase family protein	[source:homolog]
Zm00001d043149	Leucine-rich repeat (LRR) family protein	[source:homolog]
Zm00001d043150	Calcium-dependent protein kinase 17	[source:homolog]
Zm00001d043151	NAD(P)-linked oxidoreductase superfamily protein	[source:homolog]
Zm00001d043152	Dihydropyrimidinase	[source:homolog]
Zm00001d043153	 obf3;octopine synthase binding factor3: cDNA clones, candidates for ocs-element transcription factor; a small gene family containing a minimum of two OBF3 loci.	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d043155	las1-like family protein	[source:homolog]
Zm00001d043156	F-box protein 	[source:homolog]
Zm00001d043157	Rhomboid-like protein 20	[source:homolog]
Zm00001d043158	Tubulin beta-6 chain  	 [source: RefGen_v3] 
Zm00001d043159	Calmodulin-binding transcription activator 2	[source:homolog]
Zm00001d043160	Stomatal closure-related actin-binding protein 1	[source:homolog]
Zm00001d043164	Cyclin-B1-4	[source:homolog]
Zm00001d043165	Indole-3-acetate beta-glucosyltransferase  	 [source: RefGen_v3] 
Zm00001d043166	UDP-glycosyltransferase 87A1	[source:homolog]
Zm00001d043167	PsbP domain-containing protein 6 chloroplastic	[source:homolog]
Zm00001d043168	MAR-binding filament-like protein 1-1 isoform 2	[source:homolog]
Zm00001d043169	Patellin-1	[source:homolog]
Zm00001d043170	Ribosomal protein L34  	 [source: RefGen_v3] 
Zm00001d043171	WAT1-related protein 	[source:homolog]
Zm00001d043174	Cytochrome P450 98A3	[source:homolog]
Zm00001d043175	Cystatin-1  	 [source: RefGen_v3] 
Zm00001d043178	Probable sugar phosphate/phosphate translocator 	[source:homolog]
Zm00001d043179	 pin9;PIN-formed protein9: similar to Arabidopsis PIN9 (Forestan et al 2012)	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d043180	EID1-like F-box protein 3	[source:homolog]
Zm00001d043182	 cmk1;cytidine methyl kinase1: encodes 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [a.k.a. 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase]	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d043183	Probable E3 ubiquitin-protein ligase RHC1A	[source:homolog]
Zm00001d043185	BEST Arabidopsis thaliana protein match is: mucin-related (TAIR:AT2G02880.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (sou /.../CBI BLink).	[source:homolog]
Zm00001d043188	DNA-(apurinic or apyrimidinic site) lyase chloroplastic	[source:homolog]
Zm00001d043191	Protein MICRORCHIDIA 6	[source:homolog]
Zm00001d043194	Phosphoglycerate kinase  	 [source: RefGen_v3] 
Zm00001d043195	Metacaspase-6	[source:homolog]
Zm00001d043196	DNA glycosylase superfamily protein	[source:homolog]
Zm00001d043197	Probable disease resistance protein 	[source:homolog]
Zm00001d043198	Leucine-rich repeat (LRR) family protein	[source:homolog]
Zm00001d043199	Disease resistance protein RGA4  	 [source: RefGen_v3] 
Zm00001d043201	 hcf148;high chlorophyll fluorescence148: Ortholog of Arabidopsis Y3IP1. PSI assembly factor, cooperates with Ycf3. (A. Barkan, 2015)mutants lack photosystem I, pale green seedling lethal; the Arabidopsis ortholog, Y3IP1, is a PSI assembly factor and cooperates with Ycf3	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d043202	Serine/threonine-protein kinase WNK (With No Lysine)-related	[source:homolog]
Zm00001d043204	Ethylene-responsive transcription factor 12	[source:homolog]
Zm00001d043205	Ethylene-responsive transcription factor 4  	 [source: RefGen_v3] 
Zm00001d043206	Putative E3 ubiquitin-protein ligase RING1a	[source:homolog]
Zm00001d043207	haloacid dehalogenase (HAD) superfamily protein	[source:homolog]
Zm00001d043211	Subtilisin-like serine endopeptidase family protein	[source:homolog]
Zm00001d043215	Actin-related protein 2/3 complex subunit 3	[source:homolog]
Zm00001d043216	Subtilisin-like serine endopeptidase family protein	[source:homolog]
Zm00001d043217	 gos1;GOS2 homolog: endosperm cDNA 5C09H04, similar to rice GOS2 protein	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d043218	myosin heavy chain-related	[source:homolog]
Zm00001d043222	Pectin lyase-like superfamily protein	[source:homolog]
Zm00001d043223	40S ribosomal protein S25-2	[source:homolog]
Zm00001d043224	F1F0-ATPase inhibitor protein;  protein	[source:homolog]
Zm00001d043225	Pentatricopeptide repeat-containing protein  mitochondrial	[source:homolog]
Zm00001d043226	Polyphenol oxidase chloroplastic	[source:homolog]
Zm00001d043227	Protein kinase superfamily protein	[source:homolog]
Zm00001d043228	Cardiolipin synthetase  	 [source: RefGen_v3] 
Zm00001d043229	RNA-binding KH domain-containing protein	[source:homolog]
Zm00001d043230	Pentatricopeptide repeat-containing protein 	[source:homolog]
Zm00001d043231	Homeodomain leucine zipper family IV protein  	 [source: RefGen_v3] 
Zm00001d043232	Early nodulin-like protein 3  	 [source: RefGen_v3] 
Zm00001d043233	Disease resistance gene analog PIC21  	 [source: RefGen_v3] 
Zm00001d043234	NTF2-like	[source:homolog]
Zm00001d043235	Methylesterase 3	[source:homolog]
Zm00001d043236	Glutathione S-transferase U10	[source:homolog]
Zm00001d043238	Peroxidase 56  	 [source: RefGen_v3] 
Zm00001d043239	Autophagy-related protein 18f	[source:homolog]
Zm00001d043240	Sulfite exporter TauE/SafE family protein	[source:homolog]
Zm00001d043242	Early nodulin 20  	 [source: RefGen_v3] 
Zm00001d043243	 mrpi2;MRP interacting2: nucleic acid binding protein	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d043244	Indole-3-acetic acid-amido synthetase GH3.6	[source:homolog]
Zm00001d043246	L-Aspartase-like family protein	[source:homolog]
Zm00001d043247	Ethylene response sensor 1	[source:homolog]
Zm00001d043248	Transcription factor bHLH112	[source:homolog]
Zm00001d043249	NAD(P)H dehydrogenase (quinone) FQR1	[source:homolog]
Zm00001d043252	Serine/threonine-protein kinase  	 [source: RefGen_v3] 
Zm00001d043253	Receptor-like serine/threonine-protein kinase SD1-8	[source:homolog]
Zm00001d043256	G-type lectin S-receptor-like serine/threonine-protein kinase B120	[source:homolog]
Zm00001d043257	G-type lectin S-receptor-like serine/threonine-protein kinase CES101	[source:homolog]
Zm00001d043258	Caltractin  	 [source: RefGen_v3] 
Zm00001d043259	Frataxin  	 [source: RefGen_v3] 
Zm00001d043261	Universal stress protein PHOS34	[source:homolog]
Zm00001d043263	Diacylglycerol kinase 5	[source:homolog]
Zm00001d043265	LysM domain protein	[source:homolog]
Zm00001d043266	External alternative NAD(P)H-ubiquinone oxidoreductase B4 mitochondrial	[source:homolog]
Zm00001d043267	Probable 1-acyl-sn-glycerol-3-phosphate acyltransferase 4	[source:homolog]
Zm00001d043268	60S ribosomal protein L12-3	[source:homolog]
Zm00001d043269	Vacuolar protein sorting-associated protein 28 homolog 2	[source:homolog]
Zm00001d043270	Protein ULTRAPETALA 1	[source:homolog]
Zm00001d043271	BTB/POZ domain-containing protein 	[source:homolog]
Zm00001d043272	SC3 protein  	 [source: RefGen_v3] 
Zm00001d043273	SR protein related family member  	 [source: RefGen_v3] 
Zm00001d043274	Insulin-degrading enzyme-like 1 peroxisomal	[source:homolog]
Zm00001d043275	Vacuole membrane protein KMS1	[source:homolog]
Zm00001d043277	Protein STICHEL	[source:homolog]
Zm00001d043278	Protein UPSTREAM OF FLC	[source:homolog]
Zm00001d043280	Regulator of chromosome condensation (RCC1) family protein	[source:homolog]
Zm00001d043281	Proteasome subunit beta type-1	[source:homolog]
Zm00001d043283	Phosphoglycerate mutase-like family protein	[source:homolog]
Zm00001d043284	Phosphoglycerate mutase-like family protein	[source:homolog]
Zm00001d043286	Phosphoglycerate mutase-like family protein	[source:homolog]
Zm00001d043287	Exonuclease 1	[source:homolog]
Zm00001d043288	Vps51/Vps67 family (components of vesicular transport) protein	[source:homolog]
Zm00001d043291	Purple acid phosphatase 10	[source:homolog]
Zm00001d043292	Transducin/WD40 repeat-like superfamily protein	[source:homolog]
Zm00001d043293	 cko4;cytokinin oxidase 4:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d043294	TRAF-like superfamily protein	[source:homolog]
Zm00001d043295	Myosin-binding protein 1	[source:homolog]
Zm00001d043296	zinc knuckle (CCHC-type) family protein	[source:homolog]
Zm00001d043298	P-loop containing nucleoside triphosphate hydrolases superfamily protein	[source:homolog]
Zm00001d043299	Photosystem II reaction center W protein chloroplastic	[source:homolog]
Zm00001d043301	dyggve-melchior-clausen syndrome protein	[source:homolog]
Zm00001d043302	 hmt4;homocysteine S-methyltransferase4:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d043303	Signal recognition particle 54 kDa protein 3	[source:homolog]
Zm00001d043304	OSJNBa0058K23.8 protein;  protein	[source:homolog]
Zm00001d043305	ARM repeat superfamily protein	[source:homolog]
Zm00001d043307	Polyketide cyclase / dehydrase and lipid transport protein	[source:homolog]
Zm00001d043309	Glycosyl hydrolase family protein	[source:homolog]
Zm00001d043311	LOB domain-containing protein 20	[source:homolog]
Zm00001d043312	Ubiquitin carboxyl-terminal hydrolase 13	[source:homolog]
Zm00001d043314	Mal d 1-associated protein	[source:homolog]
Zm00001d043317	Mitochondrial glycoprotein family protein	[source:homolog]
Zm00001d043318	Protein LURP-one-related 5	[source:homolog]
Zm00001d043320	Tetratricopeptide repeat (TPR)-like superfamily protein	[source:homolog]
Zm00001d043321	DNA polymerase epsilon catalytic subunit A	[source:homolog]
Zm00001d043323	Copper transporter 1  	 [source: RefGen_v3] 
Zm00001d043324	F-box domain containing protein  	 [source: RefGen_v3] 
Zm00001d043325	 ptac12;plastid transcriptionally active chromosome 12 homolog: chloroplast transcription; mutants are pale green seedling lethalsMaize ortholog of Arabidopsis PTAC12. Associates with Plastid Encoded RNA polymerase (PEP). Required for PEP-mediated transcription. (A. Barkan, 2015)	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d043327	Subtilisin-like protease SBT2.1	[source:homolog]
Zm00001d043328	Lipoyl synthase 2%2C chloroplastic  	 [source: RefGen_v3] 
Zm00001d043329	Topoisomerase II-associated protein PAT1	[source:homolog]
Zm00001d043330	maternal effect embryo arrest 22	[source:homolog]
Zm00001d043335	Branched-chain-amino-acid aminotransferase 5 chloroplastic	[source:homolog]
Zm00001d043336	Probable xyloglucan glycosyltransferase 12	[source:homolog]
Zm00001d043337	Os02g0306125 protein	[source:homolog]
Zm00001d043339	RING/U-box superfamily protein	[source:homolog]
Zm00001d043344	 gst8;glutathione transferase8:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d043346	Probable calcium-binding protein CML41	[source:homolog]
Zm00001d043347	nucleic acid binding	[source:homolog]
Zm00001d043348	Acetamidase/Formamidase family protein	[source:homolog]
Zm00001d043350	Probable indole-3-acetic acid-amido synthetase GH3.1	[source:homolog]
Zm00001d043352	Polynucleotidyl transferase ribonuclease H-like superfamily protein	[source:homolog]
Zm00001d043353	Amino acid kinase family protein	[source:homolog]
Zm00001d043354	Zinc finger BED domain-containing protein DAYSLEEPER	[source:homolog]
Zm00001d043355	NADPH--cytochrome P450 reductase 2	[source:homolog]
Zm00001d043356	Chorismate mutase 1 chloroplastic	[source:homolog]
Zm00001d043357	Blue copper protein  	 [source: RefGen_v3] 
